Date,NAV,Fund,Fund_Type
09-10-2024 00:00,168.2827,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
08-10-2024 00:00,168.0763,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-10-2024 00:00,167.2093,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-10-2024 00:00,169.0585,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-10-2024 00:00,170.2256,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
01-10-2024 00:00,172.7333,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-09-2024 00:00,172.6901,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
27-09-2024 00:00,174.6396,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
26-09-2024 00:00,174.4721,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-09-2024 00:00,173.8675,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-09-2024 00:00,173.9309,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-09-2024 00:00,173.9228,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
20-09-2024 00:00,173.0462,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
19-09-2024 00:00,170.9716,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-09-2024 00:00,170.4809,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-09-2024 00:00,171.0602,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-09-2024 00:00,170.9334,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-09-2024 00:00,170.6403,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
12-09-2024 00:00,170.381,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-09-2024 00:00,168.0588,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-09-2024 00:00,168.6228,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
09-09-2024 00:00,167.4101,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-09-2024 00:00,166.8407,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
05-09-2024 00:00,168.5801,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-09-2024 00:00,168.5043,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-09-2024 00:00,168.706,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
02-09-2024 00:00,168.6163,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-08-2024 00:00,168.5895,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
